name,party
Зубрилин Николай Григорьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Лучин Александр Николаевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Нифантьев Евгений Олегович,Самовыдвижение
Рыбин Евгений Евгеньевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Ефимов Александр Борисович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Ефимов Максим Владимирович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Трофимов Павел Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Шапошников Алексей Валерьевич,Самовыдвижение
Янковой Никита Леонидович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Бускин Игорь Владимирович,Самовыдвижение
Зоммер Денис Валерьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Кравченко Татьяна Алексеевна,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Лифанцев Илья Борисович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Потапов Александр Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Клочков Дмитрий Владимирович,Самовыдвижение
Круглов Максим Сергеевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Починок Наталья Борисовна,Самовыдвижение
