name,party
Батышева Татьяна Тимофеевна,0
Гераськин Сергей Федорович,5
Матвеев Сергей Иванович,7
Михайловский Александр Всеволодович,8
Мороз Сергей Борисович,3
Суханов Игорь Владимирович,4
Богатыренко Герман Юрьевич,5
Герасимов Евгений Владимирович,0
Павлова Екатерина Геннадьевна,3
Соболев Алексей Анатольевич,0
Фролова Ольга Викторовна,4
Енгалычева Екатерина Александровна,4
Кагарлицкий Борис Юльевич,8
Коршунова Ольга Сергеевна,3
Костычева Марина Александровна,7
Меньшиков Михаил Васильевич,0
Никитин Кирилл Михайлович,0
Раменский Павел Олегович,5
Боровик Евгений Михайлович,8
Климентьев Роман Валерьевич,4
Кошлаков-Крестовский Дмитрий Владимирович,5
Митрохин Сергей Сергеевич,9
Нечаева Екатерина Сергеевна,5
Свиридов Илья Тимурович,0
Шалимова Надежда Валерьевна,0
Шувалова Елена Анатольевна,4
Касамара Валерия Александровна,0
Конев Михаил Андреевич,0
Турушев Евгений Иванович,5
Яндиев Магомет Исаевич,8
