name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Гордиенко Татьяна Владимировна,16,1466,146716,31391,404,2022,23.05,0.28,1.38,False,0,0,-1,-1,3
Косова Вера Александровна,16,1395,146716,31391,404,2022,23.05,0.28,1.38,False,0,0,-1,-1,5
Молев Антон Ильич,16,10419,146716,31391,404,2022,23.05,0.28,1.38,False,0,0,-1,1,0
Тимонов Михаил Леонидович,16,12293,146716,31391,404,2022,23.05,0.28,1.38,True,0,1,0,-1,8
Максимов Виктор Валерьевич,17,13505,146150,27344,359,1825,20.2,0.25,1.25,True,0,1,0,-1,4
Медведков Андрей Александрович,17,3580,146150,27344,359,1825,20.2,0.25,1.25,False,0,0,-1,-1,8
Татулова Анастасия Анатольевна,17,8318,146150,27344,359,1825,20.2,0.25,1.25,False,0,0,-1,0,0
Хованец Илья Николаевич,17,2645,146150,27344,359,1825,20.2,0.25,1.25,False,0,0,-1,-1,5
Марусенко Марья Михайловна,18,4516,142432,32958,383,2885,25.43,0.27,2.03,False,0,0,-1,0,0
Медведев Антон Владимирович,18,4629,142432,32958,383,2885,25.43,0.27,2.03,False,0,0,-1,-1,5
Табашников Николай Игоревич,18,8386,142432,32958,383,2885,25.43,0.27,2.03,False,0,0,-1,1,0
Шестакова Дарья Андреевна,18,1912,142432,32958,383,2885,25.43,0.27,2.03,False,0,0,-1,-1,8
Янчук Елена Юрьевна,18,15246,142432,32958,383,2885,25.43,0.27,2.03,True,0,1,0,-1,4
Волков Кирилл Олегович,19,2955,145292,27660,362,2284,20.86,0.25,1.57,False,0,0,-1,-1,5
Ильин Роман Анатольевич,19,2224,145292,27660,362,2284,20.86,0.25,1.57,False,0,0,-1,-1,3
Назарова Ирина Александровна,19,11558,145292,27660,362,2284,20.86,0.25,1.57,False,0,0,-1,1,0
Шереметьев Олег Михайлович,19,12172,145292,27660,362,2284,20.86,0.25,1.57,True,0,1,0,-1,4
Букреев Виктор Васильевич,20,3664,165776,36081,635,2216,23.48,0.38,1.34,False,1,0,-1,-1,5
Даниловцев Валерий Валерьевич,20,4137,165776,36081,635,2216,23.48,0.38,1.34,False,1,0,-1,-1,8
Захаров Дмитрий Александрович,20,3112,165776,36081,635,2216,23.48,0.38,1.34,False,1,0,-1,-1,3
Ступин Евгений Викторович,20,17496,165776,36081,635,2216,23.48,0.38,1.34,True,1,1,0,-1,4
Шингаркин Максим Андреевич,20,8512,165776,36081,635,2216,23.48,0.38,1.34,False,1,0,-1,-1,7
Бородина Екатерина Сергеевна,21,3173,151844,26730,313,3048,19.82,0.21,2.01,False,0,0,-1,-1,8
Зюганов Леонид Андреевич,21,17233,151844,26730,313,3048,19.82,0.21,2.01,True,0,1,0,-1,4
Шах Андрей Викторович,21,2767,151844,26730,313,3048,19.82,0.21,2.01,False,0,0,-1,-1,5
Шевченко Вера Леонидовна,21,5362,151844,26730,313,3048,19.82,0.21,2.01,False,0,0,-1,1,0
Бадмаев Владимир Владимирович,22,1809,151896,31501,330,2028,22.29,0.22,1.34,False,0,0,-1,-1,3
Егоров Антон Олегович,22,2475,151896,31501,330,2028,22.29,0.22,1.34,False,0,0,-1,-1,5
Монастырев Дмитрий Юрьевич,22,1849,151896,31501,330,2028,22.29,0.22,1.34,False,0,0,-1,-1,8
