name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined
Бускин Игорь Владимирович,0,0,1,13,11240,162812,31930,449,2969,21.71,0.28,1.82,1,1
Зоммер Денис Валерьевич,3,0,-1,13,1573,162812,31930,449,2969,21.71,0.28,1.82,0,1
Кравченко Татьяна Алексеевна,5,0,-1,13,3263,162812,31930,449,2969,21.71,0.28,1.82,0,1
Лифанцев Илья Борисович,8,0,-1,13,9028,162812,31930,449,2969,21.71,0.28,1.82,0,1
Потапов Александр Владимирович,4,1,-1,13,8924,162812,31930,449,2969,21.71,0.28,1.82,0,1
Клочков Дмитрий Владимирович,0,0,-1,14,2036,170133,35677,544,3111,23.12,0.32,1.83,0,3
Починок Наталья Борисовна,0,0,-1,14,8939,170133,35677,544,3111,23.12,0.32,1.83,0,3
Степкин Евгений Валериевич,5,0,-1,14,2328,170133,35677,544,3111,23.12,0.32,1.83,0,3
Федоров Георгий Владимирович,8,0,-1,14,5134,170133,35677,544,3111,23.12,0.32,1.83,0,3
Школьников Александр Наумович,0,0,-1,14,3373,170133,35677,544,3111,23.12,0.32,1.83,0,3
Круглов Максим Сергеевич,9,1,0,14,15430,170133,35677,544,3111,23.12,0.32,1.83,1,3
Востоков Юрий Александрович,0,0,-1,15,2091,141005,28223,383,2151,21.81,0.27,1.53,0,0
Кустов Алексей Евгеньевич,5,0,-1,15,2811,141005,28223,383,2151,21.81,0.27,1.53,0,0
Метельский Андрей Николаевич,0,0,-1,15,9790,141005,28223,383,2151,21.81,0.27,1.53,0,0
Остриков Иван Владимирович,3,0,-1,15,1797,141005,28223,383,2151,21.81,0.27,1.53,0,0
Савостьянов Сергей Владимирович,4,1,0,15,12955,141005,28223,383,2151,21.81,0.27,1.53,1,0
Андреева Александра Александровна,0,0,-1,16,1290,146716,31391,404,2042,23.06,0.28,1.39,0,0
Андреева Александра Сергеевна,4,0,-1,16,5855,146716,31391,404,2042,23.06,0.28,1.39,0,0
Гордиенко Татьяна Владимировна,3,0,-1,16,1466,146716,31391,404,2042,23.06,0.28,1.39,0,0
Косова Вера Александровна,5,0,-1,16,1395,146716,31391,404,2042,23.06,0.28,1.39,0,0
Молев Антон Ильич,0,0,-1,16,10419,146716,31391,404,2042,23.06,0.28,1.39,0,0
Тимонов Михаил Леонидович,8,1,0,16,12293,146716,31391,404,2042,23.06,0.28,1.39,1,0
Медведков Андрей Александрович,8,0,-1,17,3580,146150,27344,359,1827,20.21,0.25,1.25,0,0
Татулова Анастасия Анатольевна,0,0,-1,17,8318,146150,27344,359,1827,20.21,0.25,1.25,0,0
Хованец Илья Николаевич,5,0,-1,17,2645,146150,27344,359,1827,20.21,0.25,1.25,0,0
Максимов Виктор Валерьевич,4,1,0,17,13505,146150,27344,359,1827,20.21,0.25,1.25,1,0
Марусенко Марья Михайловна,0,0,-1,18,4516,142432,32958,383,2887,25.44,0.27,2.03,0,0
Медведев Антон Владимирович,5,0,-1,18,4629,142432,32958,383,2887,25.44,0.27,2.03,0,0
