name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated
Григоров Сергей Геннадьевич,6,8759,175116,33068,513,3065,20.93,0.29,1.75,False,9,0,4,0
Елисеев Борис Петрович,6,5994,175116,33068,513,3065,20.93,0.29,1.75,False,8,0,4,0
Лопарева Тамара Михайловна,6,1673,175116,33068,513,3065,20.93,0.29,1.75,False,5,0,4,0
Дуняшев Александр Олегович,7,2613,170873,32702,624,2291,20.84,0.37,1.34,False,0,0,3,1
Звягинцев Петр Семенович,7,7481,170873,32702,624,2291,20.84,0.37,1.34,False,4,0,3,0
Молочко Александр Михайлович,7,1578,170873,32702,624,2291,20.84,0.37,1.34,False,5,0,3,0
Перфилова Надежда Рафаиловна,7,16257,170873,32702,624,2291,20.84,0.37,1.34,True,0,1,3,0
Потапова Светлана Витальевна,7,2321,170873,32702,624,2291,20.84,0.37,1.34,False,1,0,3,0
Самошин Владимир Сергеевич,7,2282,170873,32702,624,2291,20.84,0.37,1.34,False,9,0,3,0
Хомяков Владимир Константинович,7,1557,170873,32702,624,2291,20.84,0.37,1.34,False,8,0,3,0
Беляев Олег Алексеевич,8,4043,178030,32211,657,2780,20.02,0.37,1.56,False,8,0,9,0
Зюганов Леонид Андреевич,8,11904,178030,32211,657,2780,20.02,0.37,1.56,True,4,0,9,0
Морозов Антон Александрович,8,5858,178030,32211,657,2780,20.02,0.37,1.56,False,0,0,9,1
Николаев Игорь Алексеевич,8,7196,178030,32211,657,2780,20.02,0.37,1.56,False,9,0,9,0
Фатеева Татьяна Евгеньевна,8,3347,178030,32211,657,2780,20.02,0.37,1.56,False,5,0,9,0
Юнусова Лилия Равиловна,8,1855,178030,32211,657,2780,20.02,0.37,1.56,False,1,0,9,0
Галенкина Майя Александровна,9,1764,177787,34399,691,2616,21.21,0.39,1.47,False,5,0,5,0
Галямина Юлия Евгеньевна,9,6845,177787,34399,691,2616,21.21,0.39,1.47,False,9,0,5,0
Гусенков Алексей Иванович,9,1743,177787,34399,691,2616,21.21,0.39,1.47,False,2,0,5,0
Ильичева Ирина Викторовна,9,12961,177787,34399,691,2616,21.21,0.39,1.47,True,10,1,5,1
Кузнецова Ольга Михайловна,9,1532,177787,34399,691,2616,21.21,0.39,1.47,False,8,0,5,0
Пономарёв Виталий Константинович,9,1699,177787,34399,691,2616,21.21,0.39,1.47,False,0,0,5,0
Попова Алена Владимировна,9,3385,177787,34399,691,2616,21.21,0.39,1.47,False,0,0,5,0
Сидоров Сергей Алексеевич,9,6543,177787,34399,691,2616,21.21,0.39,1.47,False,4,0,5,0
Картавцева Лариса Руслановна,10,18627,175641,31931,1250,2175,20.13,0.71,1.24,True,0,1,1,0
Кравцов Алексей Владимирович,10,1242,175641,31931,1250,2175,20.13,0.71,1.24,False,0,0,1,1
Кузнецов Дмитрий Иванович,10,3731,175641,31931,1250,2175,20.13,0.71,1.24,False,5,0,1,0
Мерцалова Инна Борисовна,10,2596,175641,31931,1250,2175,20.13,0.71,1.24,False,9,0,1,0
Саблуков Александр Валентинович,10,3544,175641,31931,1250,2175,20.13,0.71,1.24,False,8,0,1,0
Фадеев Максим Анатольевич,10,4173,175641,31931,1250,2175,20.13,0.71,1.24,False,4,0,1,0
Бабушкин Андрей Владимирович,11,9026,175637,29779,1079,1512,18.43,0.61,0.86,False,9,0,4,0
Зубрилин Николай Григорьевич,11,10466,175637,29779,1079,1512,18.43,0.61,0.86,True,4,0,4,0
Саватеев Вадим Витальевич,11,4738,175637,29779,1079,1512,18.43,0.61,0.86,False,5,0,4,0
Силиверстов Игорь Витальевич,11,6767,175637,29779,1079,1512,18.43,0.61,0.86,False,8,0,4,0
Марченко Евгений Владимирович,12,5590,155874,29812,1020,1638,20.83,0.65,1.05,False,4,0,3,0
Сапронов Александр Сергеевич,12,2010,155874,29812,1020,1638,20.83,0.65,1.05,False,5,0,3,0
Тафинцева Лидия Васильевна,12,1607,155874,29812,1020,1638,20.83,0.65,1.05,False,0,0,3,0
Фокина Татьяна Михайловна,12,1875,155874,29812,1020,1638,20.83,0.65,1.05,False,8,0,3,0
Ходаков Владимир Владимирович,12,3286,155874,29812,1020,1638,20.83,0.65,1.05,False,9,0,3,0
Шапошников Алексей Валерьевич,12,16801,155874,29812,1020,1638,20.83,0.65,1.05,True,10,1,3,1
Добрынин Сергей Александрович,13,2442,166024,31260,992,2029,20.65,0.6,1.22,False,5,0,0,0
Лебедев Сергей Эдуардович,13,1323,166024,31260,992,2029,20.65,0.6,1.22,False,0,0,0,0
Морозов Николай Николаевич,13,4517,166024,31260,992,2029,20.65,0.6,1.22,False,8,0,0,0
Портнова Татьяна Арториджевна,13,15354,166024,31260,992,2029,20.65,0.6,1.22,True,10,1,0,1
Савицкая Светлана Анатольевна,13,4932,166024,31260,992,2029,20.65,0.6,1.22,False,9,0,0,0
Шайжанов Родион Маратович,13,4425,166024,31260,992,2029,20.65,0.6,1.22,False,4,0,0,0
Захаров Дмитрий Александрович,14,2035,172804,32395,1111,2445,20.8,0.64,1.41,False,8,0,3,0
Круглов Максим Сергеевич,14,5731,172804,32395,1111,2445,20.8,0.64,1.41,False,9,0,3,0
Крюков Алексей Сергеевич,14,2351,172804,32395,1111,2445,20.8,0.64,1.41,False,5,0,3,0
Михайлова Юлия Борисовна,14,9034,172804,32395,1111,2445,20.8,0.64,1.41,False,4,0,3,0
Теличенко Валерий Иванович,14,15498,172804,32395,1111,2445,20.8,0.64,1.41,True,10,1,3,1
Душенко Вячеслав Владимирович,15,1634,145492,26590,312,2058,19.9,0.21,1.41,False,8,0,2,0
