name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Кустов Алексей Евгеньевич,15,2811,141005,28223,383,2151,21.81,0.27,1.53,False
Метельский Андрей Николаевич,15,9790,141005,28223,383,2151,21.81,0.27,1.53,False
Остриков Иван Владимирович,15,1797,141005,28223,383,2151,21.81,0.27,1.53,False
Савостьянов Сергей Владимирович,15,12955,141005,28223,383,2151,21.81,0.27,1.53,True
Андреева Александра Александровна,16,1290,146716,31391,404,2042,23.06,0.28,1.39,False
Андреева Александра Сергеевна,16,5855,146716,31391,404,2042,23.06,0.28,1.39,False
Гордиенко Татьяна Владимировна,16,1466,146716,31391,404,2042,23.06,0.28,1.39,False
Косова Вера Александровна,16,1395,146716,31391,404,2042,23.06,0.28,1.39,False
Молев Антон Ильич,16,10419,146716,31391,404,2042,23.06,0.28,1.39,False
Тимонов Михаил Леонидович,16,12293,146716,31391,404,2042,23.06,0.28,1.39,True
Максимов Виктор Валерьевич,17,13505,146150,27344,359,1827,20.21,0.25,1.25,True
Медведков Андрей Александрович,17,3580,146150,27344,359,1827,20.21,0.25,1.25,False
Татулова Анастасия Анатольевна,17,8318,146150,27344,359,1827,20.21,0.25,1.25,False
Хованец Илья Николаевич,17,2645,146150,27344,359,1827,20.21,0.25,1.25,False
Марусенко Марья Михайловна,18,4516,142432,32958,383,2887,25.44,0.27,2.03,False
Медведев Антон Владимирович,18,4629,142432,32958,383,2887,25.44,0.27,2.03,False
Табашников Николай Игоревич,18,8386,142432,32958,383,2887,25.44,0.27,2.03,False
Шестакова Дарья Андреевна,18,1912,142432,32958,383,2887,25.44,0.27,2.03,False
Янчук Елена Юрьевна,18,15246,142432,32958,383,2887,25.44,0.27,2.03,True
Волков Кирилл Олегович,19,2955,145292,27660,362,2285,20.86,0.25,1.57,False
Ильин Роман Анатольевич,19,2224,145292,27660,362,2285,20.86,0.25,1.57,False
Назарова Ирина Александровна,19,11558,145292,27660,362,2285,20.86,0.25,1.57,False
Шереметьев Олег Михайлович,19,12172,145292,27660,362,2285,20.86,0.25,1.57,True
Букреев Виктор Васильевич,20,3664,165776,36081,635,2217,23.49,0.38,1.34,False
Даниловцев Валерий Валерьевич,20,4137,165776,36081,635,2217,23.49,0.38,1.34,False
Захаров Дмитрий Александрович,20,3112,165776,36081,635,2217,23.49,0.38,1.34,False
Ступин Евгений Викторович,20,17496,165776,36081,635,2217,23.49,0.38,1.34,True
Шингаркин Максим Андреевич,20,8512,165776,36081,635,2217,23.49,0.38,1.34,False
Бородина Екатерина Сергеевна,21,3173,151844,26730,313,3048,19.82,0.21,2.01,False
Зюганов Леонид Андреевич,21,17233,151844,26730,313,3048,19.82,0.21,2.01,True
Шах Андрей Викторович,21,2767,151844,26730,313,3048,19.82,0.21,2.01,False
Шевченко Вера Леонидовна,21,5362,151844,26730,313,3048,19.82,0.21,2.01,False
Бадмаев Владимир Владимирович,22,1809,151896,31501,330,2028,22.29,0.22,1.34,False
Егоров Антон Олегович,22,2475,151896,31501,330,2028,22.29,0.22,1.34,False
Монастырев Дмитрий Юрьевич,22,1849,151896,31501,330,2028,22.29,0.22,1.34,False
Сараев Дмитрий Михайлович,22,11018,151896,31501,330,2028,22.29,0.22,1.34,False
Святенко Инна Юрьевна,22,15190,151896,31501,330,2028,22.29,0.22,1.34,True
Булатов Антон Эминович,23,2183,145703,26857,403,2616,20.5,0.28,1.8,False
Гуличева Елена Геннадьевна,23,10782,145703,26857,403,2616,20.5,0.28,1.8,False
Николаева Елена Леонидовна,23,12119,145703,26857,403,2616,20.5,0.28,1.8,True
Померанцев Георгий Александрович,23,2694,145703,26857,403,2616,20.5,0.28,1.8,False
Абраменко Екатерина Анатольевна,24,2565,173481,35129,650,4351,23.13,0.37,2.51,False
Балабуткин Алексей Алексеевич,24,1095,173481,35129,650,4351,23.13,0.37,2.51,False
Дягилев Игорь Владимирович,24,13241,173481,35129,650,4351,23.13,0.37,2.51,False
