single_mandate, declined
1,0
2,2
3,4
4,1
5,3
6,1
7,0
8,2
9,3
10,0
11,2
12,0
13,1
14,3
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,4
24,0
25,3
26,0
27,0
28,1
29,1
30,3
31,1
32,1
33,1
34,0
35,0
36,0
37,2
38,1
39,1
40,1
41,2
42,4
43,7
44,3
45,6
