name, party
Иваненко Сергей Викторович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Иксанова Арина Тахировна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Кравченко Юрий Александрович,Московское городское отделение политической партии Либерально-демократическая партия России
Шастина Вера Ростиславовна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Ярмольник Леонид Исаакович,Региональное отделение в городе Москве Политической партии Гражданская Платформа
Гнездилов Александр Валентинович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Пономарёв Константин Алексеевич,Московское городское отделение политической партии Либерально-демократическая партия России
Свиридов Илья Тимурович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Шувалова Елена Анатольевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Бабич Барбара Адамовна,Самовыдвижение
Кавказский Николай Юрьевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Комендантов Антон Андреевич,Самовыдвижение
Кузьминов Ярослав Иванович,Самовыдвижение
Симонян Кристина Владиславовна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Умников Антон Геннадьевич,Московское городское отделение политической партии Либерально-демократическая партия России
Фомичева Елена Алексеевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
