name, party
Саблуков Александр Валентинович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Фадеев Максим Анатольевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Бабушкин Андрей Владимирович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Зубрилин Николай Григорьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Саватеев Вадим Витальевич,Московское городское отделение политической партии Либерально-демократическая партия России
Силиверстов Игорь Витальевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Марченко Евгений Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Сапронов Александр Сергеевич,Московское городское отделение политической партии Либерально-демократическая партия России
Тафинцева Лидия Васильевна,Самовыдвижение
Фокина Татьяна Михайловна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Ходаков Владимир Владимирович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Шапошников Алексей Валерьевич,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Добрынин Сергей Александрович,Московское городское отделение политической партии Либерально-демократическая партия России
Лебедев Сергей Эдуардович,Самовыдвижение
Морозов Николай Николаевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Портнова Татьяна Арториджевна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Савицкая Светлана Анатольевна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Шайжанов Родион Маратович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Захаров Дмитрий Александрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Круглов Максим Сергеевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Крюков Алексей Сергеевич,Московское городское отделение политической партии Либерально-демократическая партия России
Михайлова Юлия Борисовна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Теличенко Валерий Иванович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Душенко Вячеслав Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Крапухин Алексей Игоревич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Метельский Андрей Николаевич,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Тимонин Максим Анатольевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Шилов Станислав Александрович,Самовыдвижение
Юрьев Михаил Владимирович,Московское городское отделение политической партии Либерально-демократическая партия России
Грищенко Елена Аркадьевна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Лазарев Николай Леонидович,Московское городское отделение политической партии Либерально-демократическая партия России
Молев Антон Ильич,Самовыдвижение
Мустафин Марат Махсутович,Самовыдвижение
Парфенов Денис Андреевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Тимонов Михаил Леонидович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Андреев Андрей Владимирович,Московское городское отделение политической партии Либерально-демократическая партия России
Брумель Игорь Николаевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Петров Михаил Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
