,name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,state_employee,affiliation
20,Доможирова Ксения Валерьевна,8,1,-1,5,2196,177579,36132,626,2597,22.16,0.35,1.46,0,3,-1,2
21,Литвинов Алексей Сергеевич,5,0,-1,5,1685,177579,36132,626,2597,22.16,0.35,1.46,0,3,-1,2
22,Удальцова Анастасия Олеговна,4,0,-1,5,15598,177579,36132,626,2597,22.16,0.35,1.46,0,3,-1,2
23,Бунимович Евгений Абрамович,9,1,0,6,16732,183248,36350,623,4373,22.56,0.34,2.39,1,1,-1,2
24,Балыхин Михаил Григорьевич,0,0,-1,6,11449,183248,36350,623,4373,22.56,0.34,2.39,0,1,1,1
25,Крутских Наталья Васильевна,3,0,-1,6,2496,183248,36350,623,4373,22.56,0.34,2.39,0,1,-1,0
26,Мельников Алексей Владимирович,4,0,-1,6,6921,183248,36350,623,4373,22.56,0.34,2.39,0,1,-1,2
27,Почернин Алексей Юрьевич,5,0,-1,6,2341,183248,36350,623,4373,22.56,0.34,2.39,0,1,-1,2
28,Вербенкин Антон Юрьевич,5,0,-1,7,3371,170161,31931,787,3537,21.31,0.46,2.08,0,0,-1,2
29,Жуков Константин Аркадьевич,3,0,-1,7,2686,170161,31931,787,3537,21.31,0.46,2.08,0,0,-1,0
30,Звягинцев Петр Семенович,4,1,-1,7,12772,170161,31931,787,3537,21.31,0.46,2.08,0,0,-1,2
31,Кушаков Павел Николаевич,8,0,-1,7,3132,170161,31931,787,3537,21.31,0.46,2.08,0,0,-1,2
32,Перфилова Надежда Рафаиловна,0,0,1,7,12909,170161,31931,787,3537,21.31,0.46,2.08,1,0,1,1
33,Беседина Дарья Станиславовна,0,1,0,8,14911,175737,36609,734,3479,23.23,0.42,1.98,1,2,0,2
34,Власов Василий Максимович,5,0,-1,8,2153,175737,36609,734,3479,23.23,0.42,1.98,0,2,-1,2
35,Копейкина Екатерина Николаевна,0,0,-1,8,2765,175737,36609,734,3479,23.23,0.42,1.98,0,2,1,0
36,Кумин Вадим Валентинович,4,0,-1,8,12805,175737,36609,734,3479,23.23,0.42,1.98,0,2,-1,2
37,Луговская Елена Константиновна,6,0,-1,8,1253,175737,36609,734,3479,23.23,0.42,1.98,0,2,-1,2
38,Панина Ольга Григорьевна,8,0,-1,8,5774,175737,36609,734,3479,23.23,0.42,1.98,0,2,-1,2
39,Бакашева Екатерина Сергеевна,3,0,-1,9,2451,178560,35081,705,3248,21.86,0.39,1.82,0,3,-1,0
40,Галенкина Майя Александровна,5,0,-1,9,2399,178560,35081,705,3248,21.86,0.39,1.82,0,3,-1,2
41,Голуенко Алиса Владимировна,8,0,-1,9,1928,178560,35081,705,3248,21.86,0.39,1.82,0,3,-1,2
42,Степанов Николай Валерьевич,4,1,-1,9,15067,178560,35081,705,3248,21.86,0.39,1.82,0,3,-1,2
43,Медведев Андрей Андреевич,0,0,-1,9,15580,178560,35081,705,3248,21.86,0.39,1.82,1,3,1,1
44,Дашкевич Игорь Николаевич,3,0,-1,10,2600,177285,34478,382,3364,21.56,0.22,1.9,0,0,-1,0
45,Дашков Юрий Владимирович,4,1,-1,10,10786,177285,34478,382,3364,21.56,0.22,1.9,0,0,-1,2
46,Крюков Алексей Сергеевич,5,0,-1,10,3761,177285,34478,382,3364,21.56,0.22,1.9,0,0,-1,2
47,Суворов Андрей Александрович,8,0,-1,10,3894,177285,34478,382,3364,21.56,0.22,1.9,0,0,-1,2
48,Картавцева Лариса Руслановна,0,0,1,10,15497,177285,34478,382,3364,21.56,0.22,1.9,1,0,1,1
49,Лучин Александр Николаевич,8,0,-1,11,2715,176802,33202,636,2831,20.74,0.36,1.6,0,2,-1,2
50,Нифантьев Евгений Олегович,0,0,-1,11,12167,176802,33202,636,2831,20.74,0.36,1.6,0,2,0,1
51,Рыбин Евгений Евгеньевич,5,0,-1,11,4593,176802,33202,636,2831,20.74,0.36,1.6,0,2,-1,2
52,Зубрилин Николай Григорьевич,4,1,0,11,15775,176802,33202,636,2831,20.74,0.36,1.6,1,2,-1,2
53,Ефимов Александр Борисович,4,1,-1,12,13087,154596,31415,622,2864,22.58,0.4,1.85,0,0,-1,2
54,Ефимов Максим Владимирович,5,0,-1,12,2613,154596,31415,622,2864,22.58,0.4,1.85,0,0,-1,0
55,Трофимов Павел Владимирович,3,0,-1,12,1463,154596,31415,622,2864,22.58,0.4,1.85,0,0,-1,0
56,Янковой Никита Леонидович,8,0,-1,12,2358,154596,31415,622,2864,22.58,0.4,1.85,0,0,-1,2
57,Шапошников Алексей Валерьевич,0,0,1,12,14227,154596,31415,622,2864,22.58,0.4,1.85,1,0,1,1
58,Бускин Игорь Владимирович,0,0,1,13,11240,162812,31930,449,2969,21.71,0.28,1.82,1,1,1,1
59,Зоммер Денис Валерьевич,3,0,-1,13,1573,162812,31930,449,2969,21.71,0.28,1.82,0,1,-1,0
60,Кравченко Татьяна Алексеевна,5,0,-1,13,3263,162812,31930,449,2969,21.71,0.28,1.82,0,1,-1,2
61,Лифанцев Илья Борисович,8,0,-1,13,9028,162812,31930,449,2969,21.71,0.28,1.82,0,1,-1,2
62,Потапов Александр Владимирович,4,1,-1,13,8924,162812,31930,449,2969,21.71,0.28,1.82,0,1,-1,2
63,Клочков Дмитрий Владимирович,0,0,-1,14,2036,170133,35677,544,3111,23.12,0.32,1.83,0,3,0,2
64,Починок Наталья Борисовна,0,0,-1,14,8939,170133,35677,544,3111,23.12,0.32,1.83,0,3,1,1
65,Степкин Евгений Валериевич,5,0,-1,14,2328,170133,35677,544,3111,23.12,0.32,1.83,0,3,-1,2
66,Федоров Георгий Владимирович,8,0,-1,14,5134,170133,35677,544,3111,23.12,0.32,1.83,0,3,-1,2
67,Школьников Александр Наумович,0,0,-1,14,3373,170133,35677,544,3111,23.12,0.32,1.83,0,3,0,2
68,Круглов Максим Сергеевич,9,1,0,14,15430,170133,35677,544,3111,23.12,0.32,1.83,1,3,-1,2
69,Востоков Юрий Александрович,0,0,-1,15,2091,141005,28223,383,2151,21.81,0.27,1.53,0,0,0,2
70,Кустов Алексей Евгеньевич,5,0,-1,15,2811,141005,28223,383,2151,21.81,0.27,1.53,0,0,-1,2
71,Метельский Андрей Николаевич,0,0,-1,15,9790,141005,28223,383,2151,21.81,0.27,1.53,0,0,1,1
72,Остриков Иван Владимирович,3,0,-1,15,1797,141005,28223,383,2151,21.81,0.27,1.53,0,0,-1,0
73,Савостьянов Сергей Владимирович,4,1,0,15,12955,141005,28223,383,2151,21.81,0.27,1.53,1,0,-1,2
74,Андреева Александра Александровна,0,0,-1,16,1290,146716,31391,404,2042,23.06,0.28,1.39,0,0,0,0
75,Андреева Александра Сергеевна,4,0,-1,16,5855,146716,31391,404,2042,23.06,0.28,1.39,0,0,-1,2
76,Гордиенко Татьяна Владимировна,3,0,-1,16,1466,146716,31391,404,2042,23.06,0.28,1.39,0,0,-1,0
77,Косова Вера Александровна,5,0,-1,16,1395,146716,31391,404,2042,23.06,0.28,1.39,0,0,-1,2
78,Молев Антон Ильич,0,0,-1,16,10419,146716,31391,404,2042,23.06,0.28,1.39,0,0,1,1
79,Тимонов Михаил Леонидович,8,1,0,16,12293,146716,31391,404,2042,23.06,0.28,1.39,1,0,-1,2
80,Медведков Андрей Александрович,8,0,-1,17,3580,146150,27344,359,1827,20.21,0.25,1.25,0,0,-1,2
81,Татулова Анастасия Анатольевна,0,0,-1,17,8318,146150,27344,359,1827,20.21,0.25,1.25,0,0,0,1
82,Хованец Илья Николаевич,5,0,-1,17,2645,146150,27344,359,1827,20.21,0.25,1.25,0,0,-1,2
83,Максимов Виктор Валерьевич,4,1,0,17,13505,146150,27344,359,1827,20.21,0.25,1.25,1,0,-1,2
84,Марусенко Марья Михайловна,0,0,-1,18,4516,142432,32958,383,2887,25.44,0.27,2.03,0,0,0,2
85,Медведев Антон Владимирович,5,0,-1,18,4629,142432,32958,383,2887,25.44,0.27,2.03,0,0,-1,2
86,Табашников Николай Игоревич,0,0,-1,18,8386,142432,32958,383,2887,25.44,0.27,2.03,0,0,1,1
87,Шестакова Дарья Андреевна,8,0,-1,18,1912,142432,32958,383,2887,25.44,0.27,2.03,0,0,-1,2
88,Янчук Елена Юрьевна,4,1,0,18,15246,142432,32958,383,2887,25.44,0.27,2.03,1,0,-1,2
89,Волков Кирилл Олегович,5,0,-1,19,2955,145292,27660,362,2285,20.86,0.25,1.57,0,0,-1,2
90,Ильин Роман Анатольевич,3,0,-1,19,2224,145292,27660,362,2285,20.86,0.25,1.57,0,0,-1,0
91,Назарова Ирина Александровна,0,0,-1,19,11558,145292,27660,362,2285,20.86,0.25,1.57,0,0,1,1
92,Шереметьев Олег Михайлович,4,1,0,19,12172,145292,27660,362,2285,20.86,0.25,1.57,1,0,-1,2
93,Букреев Виктор Васильевич,5,0,-1,20,3664,165776,36081,635,2217,23.49,0.38,1.34,0,1,-1,2
94,Даниловцев Валерий Валерьевич,8,0,-1,20,4137,165776,36081,635,2217,23.49,0.38,1.34,0,1,-1,2
95,Захаров Дмитрий Александрович,3,0,-1,20,3112,165776,36081,635,2217,23.49,0.38,1.34,0,1,-1,0
96,Шингаркин Максим Андреевич,7,0,-1,20,8512,165776,36081,635,2217,23.49,0.38,1.34,0,1,-1,2
97,Ступин Евгений Викторович,4,1,0,20,17496,165776,36081,635,2217,23.49,0.38,1.34,1,1,-1,2
98,Зюганов Леонид Андреевич,4,1,0,21,17233,151844,26730,313,3048,19.82,0.21,2.01,1,0,-1,2
99,Бородина Екатерина Сергеевна,8,0,-1,21,3173,151844,26730,313,3048,19.82,0.21,2.01,0,0,-1,2
100,Шах Андрей Викторович,5,1,-1,21,2767,151844,26730,313,3048,19.82,0.21,2.01,0,0,-1,2
101,Шевченко Вера Леонидовна,0,1,-1,21,5362,151844,26730,313,3048,19.82,0.21,2.01,0,0,1,2
102,Бадмаев Владимир Владимирович,3,0,-1,22,1809,151896,31501,330,2028,22.29,0.22,1.34,0,0,-1,0
103,Егоров Антон Олегович,5,0,-1,22,2475,151896,31501,330,2028,22.29,0.22,1.34,0,0,-1,2
104,Монастырев Дмитрий Юрьевич,8,0,-1,22,1849,151896,31501,330,2028,22.29,0.22,1.34,0,0,-1,2
105,Сараев Дмитрий Михайлович,4,1,-1,22,11018,151896,31501,330,2028,22.29,0.22,1.34,0,0,-1,2
106,Святенко Инна Юрьевна,0,0,1,22,15190,151896,31501,330,2028,22.29,0.22,1.34,1,0,1,1
107,Булатов Антон Эминович,3,0,-1,23,2183,145703,26857,403,2616,20.5,0.28,1.8,0,4,-1,0
108,Гуличева Елена Геннадьевна,4,1,-1,23,10782,145703,26857,403,2616,20.5,0.28,1.8,0,4,-1,2
109,Померанцев Георгий Александрович,5,0,-1,23,2694,145703,26857,403,2616,20.5,0.28,1.8,0,4,-1,2
110,Николаева Елена Леонидовна,0,0,1,23,12119,145703,26857,403,2616,20.5,0.28,1.8,1,4,1,1
111,Абраменко Екатерина Анатольевна,8,0,-1,24,2565,173481,35129,650,4351,23.13,0.37,2.51,0,0,-1,2
112,Балабуткин Алексей Алексеевич,3,0,-1,24,1095,173481,35129,650,4351,23.13,0.37,2.51,0,0,-1,0
113,Дягилев Игорь Владимирович,0,0,-1,24,13241,173481,35129,650,4351,23.13,0.37,2.51,0,0,1,1
