,name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated,affiliation
55,Кравцов Алексей Владимирович,10,1242,175641,31931,1250,2175,20.13,0.71,1.24,False,0,0,1,1,0
56,Кузнецов Дмитрий Иванович,10,3731,175641,31931,1250,2175,20.13,0.71,1.24,False,5,0,1,0,2
57,Мерцалова Инна Борисовна,10,2596,175641,31931,1250,2175,20.13,0.71,1.24,False,9,0,1,0,2
58,Саблуков Александр Валентинович,10,3544,175641,31931,1250,2175,20.13,0.71,1.24,False,8,0,1,0,2
59,Фадеев Максим Анатольевич,10,4173,175641,31931,1250,2175,20.13,0.71,1.24,False,4,0,1,0,2
60,Бабушкин Андрей Владимирович,11,9026,175637,29779,1079,1512,18.43,0.61,0.86,False,9,0,4,0,2
61,Зубрилин Николай Григорьевич,11,10466,175637,29779,1079,1512,18.43,0.61,0.86,True,4,0,4,0,2
62,Саватеев Вадим Витальевич,11,4738,175637,29779,1079,1512,18.43,0.61,0.86,False,5,0,4,0,2
63,Силиверстов Игорь Витальевич,11,6767,175637,29779,1079,1512,18.43,0.61,0.86,False,8,0,4,0,2
64,Марченко Евгений Владимирович,12,5590,155874,29812,1020,1638,20.83,0.65,1.05,False,4,0,3,0,2
65,Сапронов Александр Сергеевич,12,2010,155874,29812,1020,1638,20.83,0.65,1.05,False,5,0,3,0,2
66,Тафинцева Лидия Васильевна,12,1607,155874,29812,1020,1638,20.83,0.65,1.05,False,0,0,3,0,0
67,Фокина Татьяна Михайловна,12,1875,155874,29812,1020,1638,20.83,0.65,1.05,False,8,0,3,0,2
68,Ходаков Владимир Владимирович,12,3286,155874,29812,1020,1638,20.83,0.65,1.05,False,9,0,3,0,2
69,Шапошников Алексей Валерьевич,12,16801,155874,29812,1020,1638,20.83,0.65,1.05,True,10,1,3,1,1
70,Добрынин Сергей Александрович,13,2442,166024,31260,992,2029,20.65,0.6,1.22,False,5,0,0,0,2
71,Лебедев Сергей Эдуардович,13,1323,166024,31260,992,2029,20.65,0.6,1.22,False,0,0,0,0,0
72,Морозов Николай Николаевич,13,4517,166024,31260,992,2029,20.65,0.6,1.22,False,8,0,0,0,2
73,Портнова Татьяна Арториджевна,13,15354,166024,31260,992,2029,20.65,0.6,1.22,True,10,1,0,1,1
74,Савицкая Светлана Анатольевна,13,4932,166024,31260,992,2029,20.65,0.6,1.22,False,9,0,0,0,2
75,Шайжанов Родион Маратович,13,4425,166024,31260,992,2029,20.65,0.6,1.22,False,4,0,0,0,2
76,Захаров Дмитрий Александрович,14,2035,172804,32395,1111,2445,20.8,0.64,1.41,False,8,0,3,0,2
77,Круглов Максим Сергеевич,14,5731,172804,32395,1111,2445,20.8,0.64,1.41,False,9,0,3,0,2
78,Крюков Алексей Сергеевич,14,2351,172804,32395,1111,2445,20.8,0.64,1.41,False,5,0,3,0,2
79,Михайлова Юлия Борисовна,14,9034,172804,32395,1111,2445,20.8,0.64,1.41,False,4,0,3,0,2
80,Теличенко Валерий Иванович,14,15498,172804,32395,1111,2445,20.8,0.64,1.41,True,10,1,3,1,1
81,Душенко Вячеслав Владимирович,15,1634,145492,26590,312,2058,19.9,0.21,1.41,False,8,0,2,0,2
82,Крапухин Алексей Игоревич,15,3467,145492,26590,312,2058,19.9,0.21,1.41,False,9,0,2,0,2
83,Метельский Андрей Николаевич,15,15423,145492,26590,312,2058,19.9,0.21,1.41,True,10,1,2,1,1
84,Тимонин Максим Анатольевич,15,4064,145492,26590,312,2058,19.9,0.21,1.41,False,4,0,2,0,2
85,Шилов Станислав Александрович,15,1953,145492,26590,312,2058,19.9,0.21,1.41,False,0,0,2,0,0
86,Юрьев Михаил Владимирович,15,1294,145492,26590,312,2058,19.9,0.21,1.41,False,5,0,2,0,2
87,Грищенко Елена Аркадьевна,16,3324,145793,29538,307,1823,21.72,0.21,1.25,False,9,0,1,0,2
88,Лазарев Николай Леонидович,16,1422,145793,29538,307,1823,21.72,0.21,1.25,False,5,0,1,0,2
89,Молев Антон Ильич,16,14476,145793,29538,307,1823,21.72,0.21,1.25,True,0,1,1,0,1
90,Мустафин Марат Махсутович,16,729,145793,29538,307,1823,21.72,0.21,1.25,False,0,0,1,0,0
