,name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated,affiliation
242,Иваненко Сергей Викторович,43,3566,148136,29515,133,1844,21.26,0.09,1.24,False,9,0,3,0,2
243,Иксанова Арина Тахировна,43,1962,148136,29515,133,1844,21.26,0.09,1.24,False,8,0,3,0,2
244,Кравченко Юрий Александрович,43,959,148136,29515,133,1844,21.26,0.09,1.24,False,5,0,3,0,2
245,Шастина Вера Ростиславовна,43,8942,148136,29515,133,1844,21.26,0.09,1.24,True,10,1,3,1,1
246,Ярмольник Леонид Исаакович,43,8626,148136,29515,133,1844,21.26,0.09,1.24,False,11,0,3,0,2
247,Гнездилов Александр Валентинович,44,4876,158895,28099,66,2145,19.08,0.04,1.35,False,9,0,8,0,2
248,Пономарёв Константин Алексеевич,44,2036,158895,28099,66,2145,19.08,0.04,1.35,False,5,0,8,0,2
249,Свиридов Илья Тимурович,44,10494,158895,28099,66,2145,19.08,0.04,1.35,False,8,0,8,0,2
250,Шувалова Елена Анатольевна,44,11845,158895,28099,66,2145,19.08,0.04,1.35,True,4,0,8,0,2
251,Бабич Барбара Адамовна,45,702,151365,28921,164,2335,20.76,0.11,1.54,False,0,0,1,0,0
252,Кавказский Николай Юрьевич,45,4010,151365,28921,164,2335,20.76,0.11,1.54,False,9,0,1,0,2
253,Комендантов Антон Андреевич,45,783,151365,28921,164,2335,20.76,0.11,1.54,False,0,0,1,0,0
254,Кузьминов Ярослав Иванович,45,12860,151365,28921,164,2335,20.76,0.11,1.54,True,0,1,1,0,1
255,Симонян Кристина Владиславовна,45,3527,151365,28921,164,2335,20.76,0.11,1.54,False,8,0,1,0,2
256,Умников Антон Геннадьевич,45,1234,151365,28921,164,2335,20.76,0.11,1.54,False,5,0,1,0,2
257,Фомичева Елена Алексеевна,45,7347,151365,28921,164,2335,20.76,0.11,1.54,False,4,0,1,0,2
