name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Зоммер Денис Валерьевич,13,1573,162812,31930,449,2947,21.697417880745892,1.2710185132763403,8.342297457962973,False,1,0,-1,-1,3
Кравченко Татьяна Алексеевна,13,3263,162812,31930,449,2947,21.697417880745892,1.2710185132763403,8.342297457962973,False,1,0,-1,-1,5
Лифанцев Илья Борисович,13,9028,162812,31930,449,2947,21.697417880745892,1.2710185132763403,8.342297457962973,False,1,0,-1,-1,8
Потапов Александр Владимирович,13,8924,162812,31930,449,2947,21.697417880745892,1.2710185132763403,8.342297457962973,False,1,1,-1,-1,4
Клочков Дмитрий Владимирович,14,2036,170133,35677,544,3108,23.116620526294135,1.3832032342546212,7.902565536881182,False,3,0,-1,0,0
Круглов Максим Сергеевич,14,15430,170133,35677,544,3108,23.116620526294135,1.3832032342546212,7.902565536881182,True,3,1,0,-1,9
Починок Наталья Борисовна,14,8939,170133,35677,544,3108,23.116620526294135,1.3832032342546212,7.902565536881182,False,3,0,-1,1,0
Степкин Евгений Валериевич,14,2328,170133,35677,544,3108,23.116620526294135,1.3832032342546212,7.902565536881182,False,3,0,-1,-1,5
Федоров Георгий Владимирович,14,5134,170133,35677,544,3108,23.116620526294135,1.3832032342546212,7.902565536881182,False,3,0,-1,-1,8
Школьников Александр Наумович,14,3373,170133,35677,544,3108,23.116620526294135,1.3832032342546212,7.902565536881182,False,3,0,-1,0,0
Востоков Юрий Александрович,15,2091,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.9935299281464385,False,0,0,-1,0,0
Кустов Алексей Евгеньевич,15,2811,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.9935299281464385,False,0,0,-1,-1,5
Метельский Андрей Николаевич,15,9790,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.9935299281464385,False,0,0,-1,1,0
Остриков Иван Владимирович,15,1797,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.9935299281464385,False,0,0,-1,-1,3
Савостьянов Сергей Владимирович,15,12955,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.9935299281464385,True,0,1,0,-1,4
