name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Алексанян Артур Олегович,1,5775,171520,38751,931,3516,25.185401119402986,2.1551923700171303,8.139265706745682,False
Болотин Максим Олегович,1,1995,171520,38751,931,3516,25.185401119402986,2.1551923700171303,8.139265706745682,False
Бутузов Александр Викторович,1,3340,171520,38751,931,3516,25.185401119402986,2.1551923700171303,8.139265706745682,False
Венедиктов Александр Викторович,1,5107,171520,38751,931,3516,25.185401119402986,2.1551923700171303,8.139265706745682,False
Гончарук Григорий Иванович,1,6404,171520,38751,931,3516,25.185401119402986,2.1551923700171303,8.139265706745682,False
Драгункина Зинаида Федоровна,1,19050,171520,38751,931,3516,25.185401119402986,2.1551923700171303,8.139265706745682,True
Анисимов Егор Игоревич,2,1266,175024,31465,386,2072,19.381913337599414,1.137871060932111,6.107950358164078,False
Золотарёва Светлана Андреевна,2,1851,175024,31465,386,2072,19.381913337599414,1.137871060932111,6.107950358164078,False
Песков Михаил Владимирович,2,5444,175024,31465,386,2072,19.381913337599414,1.137871060932111,6.107950358164078,False
Цапенко Сергей Валерьевич,2,3399,175024,31465,386,2072,19.381913337599414,1.137871060932111,6.107950358164078,False
Шмелева Елена Игоревна,2,7604,175024,31465,386,2072,19.381913337599414,1.137871060932111,6.107950358164078,False
Ярославская Ольга Владимировна,2,13061,175024,31465,386,2072,19.381913337599414,1.137871060932111,6.107950358164078,True
Анашкин Юрий Александрович,3,5490,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False
Арзуманян Альберт Аргиналович,3,2149,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False
Белов Даниил Романович,3,1519,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False
Демидко Владимир Александрович,3,1925,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False
Сараев Дмитрий Михайлович,3,4861,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False
Скобинов Валерий Петрович,3,17729,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,True
Алырин Святослав Игоревич,4,1290,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False
Герасимов Евгений Владимирович,4,19383,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,True
Копкина Ирина Николаевна,4,8828,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False
Махмудов Рустам Хамидович,4,3713,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False
Павленко Ирина Алексеевна,4,3102,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False
Бабурин Сергей Николаевич,5,9128,176494,35146,673,1705,21.260779403265833,1.7935188146253065,4.543758661123547,False
Золочевский Виталий Сергеевич,5,2260,176494,35146,673,1705,21.260779403265833,1.7935188146253065,4.543758661123547,False
Кац Максим Евгеньевич,5,8613,176494,35146,673,1705,21.260779403265833,1.7935188146253065,4.543758661123547,False
Морозова Елена Сергеевна,5,4066,176494,35146,673,1705,21.260779403265833,1.7935188146253065,4.543758661123547,False
Сорока Олег Иосифович,5,12196,176494,35146,673,1705,21.260779403265833,1.7935188146253065,4.543758661123547,True
Бабкина Надежда Георгиевна,6,13509,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,True
Барынина Надежда Сергеевна,6,5406,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False
Григоров Сергей Геннадьевич,6,8759,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False
Елисеев Борис Петрович,6,5994,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False
Лопарева Тамара Михайловна,6,1673,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False
Дуняшев Александр Олегович,7,2613,170873,32702,624,2291,20.844135703124543,1.751972372743353,6.432321644158688,False
Звягинцев Петр Семенович,7,7481,170873,32702,624,2291,20.844135703124543,1.751972372743353,6.432321644158688,False
Молочко Александр Михайлович,7,1578,170873,32702,624,2291,20.844135703124543,1.751972372743353,6.432321644158688,False
Перфилова Надежда Рафаиловна,7,16257,170873,32702,624,2291,20.844135703124543,1.751972372743353,6.432321644158688,True
Потапова Светлана Витальевна,7,2321,170873,32702,624,2291,20.844135703124543,1.751972372743353,6.432321644158688,False
Самошин Владимир Сергеевич,7,2282,170873,32702,624,2291,20.844135703124543,1.751972372743353,6.432321644158688,False
Хомяков Владимир Константинович,7,1557,170873,32702,624,2291,20.844135703124543,1.751972372743353,6.432321644158688,False
Беляев Олег Алексеевич,8,4043,178030,32211,657,2780,20.023591529517496,1.843020646319569,7.798473967684021,False
Зюганов Леонид Андреевич,8,11904,178030,32211,657,2780,20.023591529517496,1.843020646319569,7.798473967684021,True
Морозов Антон Александрович,8,5858,178030,32211,657,2780,20.023591529517496,1.843020646319569,7.798473967684021,False
Николаев Игорь Алексеевич,8,7196,178030,32211,657,2780,20.023591529517496,1.843020646319569,7.798473967684021,False
Фатеева Татьяна Евгеньевна,8,3347,178030,32211,657,2780,20.023591529517496,1.843020646319569,7.798473967684021,False
Юнусова Лилия Равиловна,8,1855,178030,32211,657,2780,20.023591529517496,1.843020646319569,7.798473967684021,False
Галенкина Майя Александровна,9,1764,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,False
Галямина Юлия Евгеньевна,9,6845,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,False
Гусенков Алексей Иванович,9,1743,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,False
Ильичева Ирина Викторовна,9,12961,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,True
Кузнецова Ольга Михайловна,9,1532,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,False
Пономарёв Виталий Константинович,9,1699,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,False
Попова Алена Владимировна,9,3385,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,False
Сидоров Сергей Алексеевич,9,6543,177787,34399,691,2616,21.208524807775596,1.8325995862727418,6.93788786930462,False
Картавцева Лариса Руслановна,10,18627,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.1517139947957915,True
Кравцов Алексей Владимирович,10,1242,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.1517139947957915,False
Кузнецов Дмитрий Иванович,10,3731,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.1517139947957915,False
Мерцалова Инна Борисовна,10,2596,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.1517139947957915,False
Саблуков Александр Валентинович,10,3544,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.1517139947957915,False
Фадеев Максим Анатольевич,10,4173,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.1517139947957915,False
Бабушкин Андрей Владимирович,11,9026,175637,29779,1079,1512,18.43005744803202,3.3333333333333335,4.670991658943466,False
Зубрилин Николай Григорьевич,11,10466,175637,29779,1079,1512,18.43005744803202,3.3333333333333335,4.670991658943466,True
Саватеев Вадим Витальевич,11,4738,175637,29779,1079,1512,18.43005744803202,3.3333333333333335,4.670991658943466,False
Силиверстов Игорь Витальевич,11,6767,175637,29779,1079,1512,18.43005744803202,3.3333333333333335,4.670991658943466,False
Марченко Евгений Владимирович,12,5590,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False
Сапронов Александр Сергеевич,12,2010,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False
Тафинцева Лидия Васильевна,12,1607,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False
Фокина Татьяна Михайловна,12,1875,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False
Ходаков Владимир Владимирович,12,3286,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False
Шапошников Алексей Валерьевич,12,16801,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,True
Добрынин Сергей Александрович,13,2442,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False
Лебедев Сергей Эдуардович,13,1323,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False
Морозов Николай Николаевич,13,4517,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False
Портнова Татьяна Арториджевна,13,15354,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,True
Савицкая Светлана Анатольевна,13,4932,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False
Шайжанов Родион Маратович,13,4425,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False
