name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,joined_united_rus,ur_affiliated,party,affiliation
Галенкина Майя Александровна,9,1764,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,False,5,0,0,5,2
Галямина Юлия Евгеньевна,9,6845,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,False,5,0,0,9,2
Гусенков Алексей Иванович,9,1743,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,False,5,0,0,2,0
Ильичева Ирина Викторовна,9,12961,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,True,5,1,1,10,1
Кузнецова Ольга Михайловна,9,1532,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,False,5,0,0,8,2
Пономарёв Виталий Константинович,9,1699,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,False,5,0,0,0,0
Попова Алена Владимировна,9,3385,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,False,5,0,0,0,0
Сидоров Сергей Алексеевич,9,6543,177787,34399,691,2616,21.2085248077756,1.8325995862727416,6.93788786930462,False,5,0,0,4,2
Картавцева Лариса Руслановна,10,18627,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.151713994795792,True,1,1,0,0,1
Кравцов Алексей Владимирович,10,1242,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.151713994795792,False,1,0,1,0,0
Кузнецов Дмитрий Иванович,10,3731,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.151713994795792,False,1,0,0,5,2
Мерцалова Инна Борисовна,10,2596,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.151713994795792,False,1,0,0,9,2
Саблуков Александр Валентинович,10,3544,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.151713994795792,False,1,0,0,8,2
Фадеев Максим Анатольевич,10,4173,175641,31931,1250,2175,20.12969636929874,3.5354678131010293,6.151713994795792,False,1,0,0,4,2
Бабушкин Андрей Владимирович,11,9026,175637,29779,1079,1512,18.43005744803202,3.333333333333333,4.670991658943466,False,4,0,0,9,2
Зубрилин Николай Григорьевич,11,10466,175637,29779,1079,1512,18.43005744803202,3.333333333333333,4.670991658943466,True,4,0,0,4,2
Саватеев Вадим Витальевич,11,4738,175637,29779,1079,1512,18.43005744803202,3.333333333333333,4.670991658943466,False,4,0,0,5,2
Силиверстов Игорь Витальевич,11,6767,175637,29779,1079,1512,18.43005744803202,3.333333333333333,4.670991658943466,False,4,0,0,8,2
Марченко Евгений Владимирович,12,5590,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False,3,0,0,4,2
Сапронов Александр Сергеевич,12,2010,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False,3,0,0,5,2
Тафинцева Лидия Васильевна,12,1607,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False,3,0,0,0,0
Фокина Татьяна Михайловна,12,1875,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False,3,0,0,8,2
Ходаков Владимир Владимирович,12,3286,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,False,3,0,0,9,2
Шапошников Алексей Валерьевич,12,16801,155874,29812,1020,1638,20.830927544041984,3.141361256544503,5.044656606097937,True,3,1,1,10,1
Добрынин Сергей Александрович,13,2442,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False,0,0,0,5,2
Лебедев Сергей Эдуардович,13,1323,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False,0,0,0,0,0
Морозов Николай Николаевич,13,4517,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False,0,0,0,8,2
Портнова Татьяна Арториджевна,13,15354,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,True,0,1,1,10,1
Савицкая Светлана Анатольевна,13,4932,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False,0,0,0,9,2
Шайжанов Родион Маратович,13,4425,166024,31260,992,2029,20.64821953452513,2.8937312213762727,5.918730492109332,False,0,0,0,4,2
Захаров Дмитрий Александрович,14,2035,172804,32395,1111,2445,20.80449526631328,3.0903173764290286,6.800923479179995,False,3,0,0,8,2
Круглов Максим Сергеевич,14,5731,172804,32395,1111,2445,20.80449526631328,3.0903173764290286,6.800923479179995,False,3,0,0,9,2
Крюков Алексей Сергеевич,14,2351,172804,32395,1111,2445,20.80449526631328,3.0903173764290286,6.800923479179995,False,3,0,0,5,2
Михайлова Юлия Борисовна,14,9034,172804,32395,1111,2445,20.80449526631328,3.0903173764290286,6.800923479179995,False,3,0,0,4,2
Теличенко Валерий Иванович,14,15498,172804,32395,1111,2445,20.80449526631328,3.0903173764290286,6.800923479179995,True,3,1,1,10,1
