name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party,affiliation
Еремина Людмила Александровна,38,9175,254738,58759,944,2147,24.279848314739063,1.5262732417138238,3.471301535974131,False,1,1,-1,-1,4,2
Козлов Александр Михайлович,38,22021,254738,58759,944,2147,24.279848314739063,1.5262732417138238,3.471301535974131,True,1,0,1,1,0,1
Смирнов Станислав Александрович,38,6523,254738,58759,944,2147,24.279848314739063,1.5262732417138238,3.471301535974131,False,1,0,-1,-1,5,2
Безрядов Андрей Валерьевич,39,4483,184190,39424,1075,1987,23.0663988272979,2.5302452572612157,4.676834722026079,False,1,0,-1,-1,8,2
Бестаев Николай Самсонович,39,4274,184190,39424,1075,1987,23.0663988272979,2.5302452572612157,4.676834722026079,False,1,0,-1,-1,3,0
Видьманов Александр Олегович,39,11945,184190,39424,1075,1987,23.0663988272979,2.5302452572612157,4.676834722026079,False,1,1,-1,-1,4,2
Головченко Валерий Владимирович,39,14992,184190,39424,1075,1987,23.0663988272979,2.5302452572612157,4.676834722026079,True,1,0,1,0,0,1
Митяев Александр Константинович,39,4374,184190,39424,1075,1987,23.0663988272979,2.5302452572612157,4.676834722026079,False,1,0,-1,-1,5,2
Батышева Татьяна Тимофеевна,40,13280,183216,33116,788,1954,19.57143480918697,2.197557030509231,5.449272128953092,True,1,0,1,1,0,1
Гераськин Сергей Федорович,40,2601,183216,33116,788,1954,19.57143480918697,2.197557030509231,5.449272128953092,False,1,0,-1,-1,5,2
Матвеев Сергей Иванович,40,1308,183216,33116,788,1954,19.57143480918697,2.197557030509231,5.449272128953092,False,1,0,-1,-1,7,0
Михайловский Александр Всеволодович,40,3585,183216,33116,788,1954,19.57143480918697,2.197557030509231,5.449272128953092,False,1,0,-1,-1,8,2
Мороз Сергей Борисович,40,1866,183216,33116,788,1954,19.57143480918697,2.197557030509231,5.449272128953092,False,1,0,-1,-1,3,0
Суханов Игорь Владимирович,40,11718,183216,33116,788,1954,19.57143480918697,2.197557030509231,5.449272128953092,False,1,1,-1,-1,4,2
Богатыренко Герман Юрьевич,41,2154,163708,27592,875,2262,18.770615974784373,2.847473071040385,7.361124670506688,False,2,0,-1,-1,5,2
Герасимов Евгений Владимирович,41,12602,163708,27592,875,2262,18.770615974784373,2.847473071040385,7.361124670506688,True,2,0,1,1,0,1
Павлова Екатерина Геннадьевна,41,2002,163708,27592,875,2262,18.770615974784373,2.847473071040385,7.361124670506688,False,2,0,-1,-1,3,0
Соболев Алексей Анатольевич,41,2228,163708,27592,875,2262,18.770615974784373,2.847473071040385,7.361124670506688,False,2,0,-1,0,0,0
Фролова Ольга Викторовна,41,10546,163708,27592,875,2262,18.770615974784373,2.847473071040385,7.361124670506688,False,2,1,-1,-1,4,2
Енгалычева Екатерина Александровна,42,14298,160709,30185,1013,2319,20.855708143290045,3.02234686875317,6.918876987797237,True,4,1,0,-1,4,2
Кагарлицкий Борис Юльевич,42,2974,160709,30185,1013,2319,20.855708143290045,3.02234686875317,6.918876987797237,False,4,0,-1,-1,8,2
Коршунова Ольга Сергеевна,42,1203,160709,30185,1013,2319,20.855708143290045,3.02234686875317,6.918876987797237,False,4,0,-1,-1,3,0
Костычева Марина Александровна,42,916,160709,30185,1013,2319,20.855708143290045,3.02234686875317,6.918876987797237,False,4,0,-1,-1,7,0
Меньшиков Михаил Васильевич,42,2936,160709,30185,1013,2319,20.855708143290045,3.02234686875317,6.918876987797237,False,4,0,-1,0,0,0
Никитин Кирилл Михайлович,42,6948,160709,30185,1013,2319,20.855708143290045,3.02234686875317,6.918876987797237,False,4,0,-1,1,0,1
Раменский Павел Олегович,42,3179,160709,30185,1013,2319,20.855708143290045,3.02234686875317,6.918876987797237,False,4,0,-1,-1,5,2
Боровик Евгений Михайлович,43,4952,144778,32966,822,2380,24.98169611405048,2.272727272727273,6.580402565804025,False,7,0,-1,-1,8,2
Климентьев Роман Валерьевич,43,6529,144778,32966,822,2380,24.98169611405048,2.272727272727273,6.580402565804025,False,7,0,-1,-1,4,2
Кошлаков-Крестовский Дмитрий Владимирович,43,7231,144778,32966,822,2380,24.98169611405048,2.272727272727273,6.580402565804025,False,7,0,-1,-1,5,2
Митрохин Сергей Сергеевич,43,16120,144778,32966,822,2380,24.98169611405048,2.272727272727273,6.580402565804025,True,7,1,0,-1,9,2
Нечаева Екатерина Сергеевна,44,1714,157114,33582,577,3143,23.74199625749456,1.546833949922256,8.425821671760227,False,3,0,-1,-1,5,2
Свиридов Илья Тимурович,44,15738,157114,33582,577,3143,23.74199625749456,1.546833949922256,8.425821671760227,False,3,0,-1,1,0,1
Шалимова Надежда Валерьевна,44,1793,157114,33582,577,3143,23.74199625749456,1.546833949922256,8.425821671760227,False,3,0,-1,0,0,0
Шувалова Елена Анатольевна,44,16710,157114,33582,577,3143,23.74199625749456,1.546833949922256,8.425821671760227,True,3,1,0,-1,4,2
Касамара Валерия Александровна,45,11014,148192,30459,592,3045,23.00798963506802,1.7362740497419051,8.930666353824495,False,6,0,-1,1,0,1
Конев Михаил Андреевич,45,3365,148192,30459,592,3045,23.00798963506802,1.7362740497419051,8.930666353824495,False,6,0,-1,0,0,0
Турушев Евгений Иванович,45,4124,148192,30459,592,3045,23.00798963506802,1.7362740497419051,8.930666353824495,False,6,0,-1,-1,5,2
Яндиев Магомет Исаевич,45,12942,148192,30459,592,3045,23.00798963506802,1.7362740497419051,8.930666353824495,True,6,1,0,-1,8,2
