single_mandate,attendance,early,outside,adm_voters,second_voters,spoilers,opposition,declined
1,25.185401119402982,2.1551923700171303,8.139265706745682,44.0992638548081,14.824760405574334,0.0,83.33333333333333,14.285714285714286
2,19.38191333759941,1.137871060932111,6.107950358164078,38.50190136485571,22.4154703298647,16.666666666666668,66.66666666666667,40.0
3,19.697895451459605,1.889827100924809,4.922741110919639,50.919064851513596,15.767706358779945,16.666666666666668,66.66666666666667,33.333333333333336
4,21.676918731011583,1.5664477008590196,4.074359724475413,51.549160926571105,23.478098986729076,0.0,80.0,54.54545454545455
5,21.26077940326584,1.7935188146253065,4.543758661123547,32.50186547276409,24.325764843833277,0.0,80.0,44.44444444444444
6,20.9267000159894,1.3998799323254925,8.363805053757572,36.863504884571306,23.901653659335263,0.0,80.0,44.44444444444444
7,20.844135703124543,1.751972372743353,6.432321644158688,45.64393407642418,21.004014936687536,28.571428571428573,57.142857142857146,30.0
8,20.023591529517496,1.843020646319569,7.798473967684021,-1,20.186265709156196,33.333333333333336,66.66666666666667,60.0
9,21.2085248077756,1.8325995862727416,6.93788786930462,34.3738397072084,18.153609505118546,37.5,50.0,38.46153846153846
10,20.12969636929874,3.5354678131010293,6.151713994795792,52.684127163706314,11.80280574725648,16.666666666666668,66.66666666666667,14.285714285714286
11,18.43005744803202,3.333333333333333,4.670991658943466,-1,27.883843064565955,0.0,100.0,50.0
12,20.830927544041984,3.141361256544503,5.044656606097937,51.74314752078842,17.21589159223899,16.666666666666668,66.66666666666667,33.333333333333336
13,20.64821953452513,2.8937312213762727,5.918730492109332,44.78865844053557,14.386978209503807,16.666666666666668,66.66666666666667,0.0
14,20.80449526631328,3.0903173764290286,6.800923479179995,43.10867569747713,25.128647325526416,0.0,80.0,37.5
15,19.904874494817584,1.0773480662983426,7.106353591160221,53.25621546961326,14.033149171270718,16.666666666666668,66.66666666666667,25.0
16,21.721207465378995,0.96943286598459,5.756599722116963,45.711759504862954,19.256031324996844,16.666666666666668,66.66666666666667,14.285714285714286
17,22.753485209112547,0.845811291431304,6.180698765653486,54.36504378493081,17.04474132520398,16.666666666666668,66.66666666666667,25.0
18,23.498899284534943,0.7670238304350372,7.503366707652673,40.75472802857311,29.808536799578437,28.571428571428573,57.142857142857146,22.22222222222222
19,22.13264711204037,0.7842068610530778,6.867108729221546,51.03400248281709,18.38798558754958,0.0,80.0,0.0
20,22.2267184991575,0.853603939710491,4.435158931502761,-1,19.038949410535746,16.666666666666668,83.33333333333333,14.285714285714286
21,23.90712212547444,1.232723197609264,6.499813223757938,32.117508938577295,32.117508938577295,16.666666666666668,66.66666666666667,0.0
22,21.26959727478196,0.799265043638034,5.539733578318788,55.60557341907824,17.847190323074567,0.0,80.0,37.5
23,19.7475446353235,0.9571013501965476,6.921893693385746,48.542129550504185,20.287130405058964,0.0,80.0,37.5
24,22.519615793140467,1.7395714466844174,8.555851401039686,40.37530112843921,26.154431342715867,16.666666666666668,66.66666666666667,25.0
25,21.364086199583948,0.9296023192790068,7.32967794794227,52.62809604840234,16.524862923047834,16.666666666666668,66.66666666666667,53.84615384615385
26,21.796241722192352,2.657298985167837,2.9133489461358315,51.269320843091336,32.25604996096799,0.0,80.0,16.666666666666668
27,21.95853684155244,2.5292235941283745,3.829710903166014,68.78232533110108,14.565457861221562,25.0,50.0,33.333333333333336
28,21.041113749592583,2.813517529162584,5.355167072361142,45.14273069263112,16.960136566244113,16.666666666666668,66.66666666666667,14.285714285714286
29,20.249939821872744,2.8561994386660063,5.306257223047713,36.126795443288756,24.018491002146277,16.666666666666668,66.66666666666667,25.0
30,20.01066064653686,2.682544656847383,4.920087746787841,50.35725477906612,16.975869633343777,16.666666666666668,66.66666666666667,14.285714285714286
31,20.760330578512395,2.892239698427141,5.017548420642142,52.053815156635906,14.740673339399455,16.666666666666668,66.66666666666667,40.0
32,22.041250936624994,2.024810639947516,6.03268324685394,35.89193057792092,23.689389872964753,28.571428571428573,57.142857142857146,36.36363636363637
33,19.33136397205022,2.062946310499868,3.782068235916424,55.77301713244586,18.087513591348557,0.0,80.0,37.5
34,19.6784623142408,1.5193994754454192,4.380332217901179,41.9432636941907,21.205269663260072,0.0,80.0,37.5
35,21.08236089971249,1.2380341194716296,4.874592224183111,36.822824749986644,22.93972939729398,16.666666666666668,66.66666666666667,33.333333333333336
36,20.892761724690697,2.6395173453996983,6.033182503770739,49.91146960456423,15.879729818348745,0.0,80.0,37.5
37,20.174321922128563,2.316525495992269,5.113410266613609,-1,25.586947871070432,42.857142857142854,57.142857142857146,46.15384615384615
38,24.14847753585857,0.6557229794974287,3.3010711639082886,-1,21.106644809234016,33.333333333333336,66.66666666666667,25.0
39,23.14289309759013,1.9466572415105623,4.235882656806504,39.06364699165331,27.478861368641425,0.0,83.33333333333333,14.285714285714286
40,19.82891616201156,2.0234570051675087,5.158799280032515,51.12059455379435,16.176043662544274,0.0,80.0,28.571428571428573
41,18.5002132975806,2.098362815825016,5.415554896728926,40.16207135092399,19.590209836281577,16.666666666666668,66.66666666666667,14.285714285714286
42,19.736250842549367,2.2199032349871928,6.469974385731904,45.26452265755937,21.768965626284665,0.0,80.0,37.5
43,21.25884322514446,0.4223294805029849,5.855455353740632,28.394512892163092,27.391083449765024,0.0,83.33333333333333,33.333333333333336
44,19.07549010352749,0.2177499175189706,7.0768723193665455,-1,34.62223688551633,0.0,100.0,66.66666666666667
45,20.757770951012454,0.5219605346912795,7.431572246976448,40.92934436664545,23.38319541693189,28.571428571428573,57.142857142857146,12.5
